UrunAdi;CozunurlukBilgisi;Fiyat;EkranBoyutu;YenilemeHizi;EkranTeknolojisi;TeknikPuan;Sablon
"Philips 275S1AE/01";"2560x1440 piksel / WQHD";"";"27 İnç";"75 Hz";"IPS";"63";"Philips 275S1AE/01 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"LG 34UC89G-B";"2560x1080 piksel / WFHD";"";"34 İnç";"144 Hz";"IPS";"63";"LG 34UC89G-B (2560x1080 piksel / WFHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 144 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"MSI G244PF E2";"1920x1080 piksel / FHD";"";"23.8 İnç";"180 Hz";"IPS";"63";"MSI G244PF E2 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 180 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Acer Nitro VG271UMbmiipx";"2560x1440 piksel / WQHD";"";"27 İnç";"170 Hz";"IPS";"63";"Acer Nitro VG271UMbmiipx (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 170 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Philips 275S9JML/00";"2560x1440 piksel / WQHD";"";"27 İnç";"75 Hz";"VA";"63";"Philips 275S9JML/00 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"MSI Optix MAG27CQ";"2560x1440 piksel / WQHD";"";"27 İnç";"144 Hz";"VA";"63";"MSI Optix MAG27CQ (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 144 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"LG UltraWide 29WQ600-W";"2560x1080 piksel / WFHD";"";"29 İnç";"100 Hz";"IPS";"63";"LG UltraWide 29WQ600-W (2560x1080 piksel / WFHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 29 İnç, yenileme hızı 100 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Dell S2722DGM";"2560x1440 piksel / WQHD";"";"27 İnç";"165 Hz";"VA";"63";"Dell S2722DGM (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"AOC 25G3ZM/BK";"1920x1080 piksel / FHD";"";"24.5 İnç";"240 Hz";"VA";"63";"AOC 25G3ZM/BK (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Acer Nitro XZ322QPbmiiphx";"1920x1080 piksel / FHD";"";"31.5 İnç";"165 Hz";"VA";"63";"Acer Nitro XZ322QPbmiiphx (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"BenQ BL3200PT";"2560x1440 piksel / WQHD";"";"32 İnç";"60 Hz";"VA";"63";"BenQ BL3200PT (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 32 İnç, yenileme hızı 60 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Gigabyte GS27Q";"2560x1440 piksel / WQHD";"";"27 İnç";"170 Hz";"IPS";"63";"Gigabyte GS27Q (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 170 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"AOC 27G2SP/BK";"1920x1080 piksel / FHD";"";"27 İnç";"165 Hz";"IPS";"63";"AOC 27G2SP/BK (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Gigabyte AORUS CV27F";"1920x1080 piksel / FHD";"";"27 İnç";"165 Hz";"VA";"63";"Gigabyte AORUS CV27F (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"BenQ Zowie XL2586X";"1920x1080 piksel / FHD";"";"24.1 İnç";"540 Hz";"TN";"63";"BenQ Zowie XL2586X (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24.1 İnç, yenileme hızı 540 Hz, ekran teknolojisi TN ve teknik puanı 63'dir."
"HP Omen 27 (780F9E9)";"1920x1080 piksel / FHD";"";"27 İnç";"165 Hz";"IPS";"63";"HP Omen 27 (780F9E9) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"MSI Optix MAG321CQR";"2560x1440 piksel / WQHD";"";"31.5 İnç";"144 Hz";"VA";"63";"MSI Optix MAG321CQR (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 144 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"LG UltraGear 27GS65F-B";"1920x1080 piksel / FHD";"";"27 İnç";"180 Hz";"IPS";"63";"LG UltraGear 27GS65F-B (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 180 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Acer Nitro VG271UM3";"2560x1440 piksel / WQHD";"";"27 İnç";"180 Hz";"IPS";"63";"Acer Nitro VG271UM3 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 180 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"HP E24u G5 (6N4D0E9)";"1920x1080 piksel / FHD";"";"23.8 İnç";"75 Hz";"IPS";"63";"HP E24u G5 (6N4D0E9) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"ViewSonic XG2705-2";"1920x1080 piksel / FHD";"";"27 İnç";"144 Hz";"IPS";"63";"ViewSonic XG2705-2 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 144 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Dexim DMT005";"1920x1080 piksel / FHD";"";"27 İnç";"180 Hz";"IPS";"63";"Dexim DMT005 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 180 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Asus TUF Gaming VG27VQM1B";"1920x1080 piksel / FHD";"";"27 İnç";"280 Hz";"VA";"63";"Asus TUF Gaming VG27VQM1B (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 280 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Asus TUF Gaming VG279Q5A";"1920x1080 piksel / FHD";"";"27 İnç";"200 Hz";"IPS";"63";"Asus TUF Gaming VG279Q5A (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 200 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Philips Evnia 27M1C5200W/00";"1920x1080 piksel / FHD";"";"27 İnç";"240 Hz";"VA";"63";"Philips Evnia 27M1C5200W/00 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 240 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"MSI Optix MAG273R";"1920x1080 piksel / FHD";"";"27 İnç";"144 Hz";"IPS";"63";"MSI Optix MAG273R (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 144 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Xiaomi Gaming Monitor G27i 2026";"1920x1080 piksel / FHD";"";"27 İnç";"200 Hz";"IPS";"63";"Xiaomi Gaming Monitor G27i 2026 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 200 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Dell S2721DS";"2560x1440 piksel / WQHD";"";"27 İnç";"75 Hz";"IPS";"63";"Dell S2721DS (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"MSI Optix MAG272C";"1920x1080 piksel / FHD";"";"27 İnç";"165 Hz";"VA";"63";"MSI Optix MAG272C (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"MSI Modern MD271QP";"2560x1440 piksel / WQHD";"";"27 İnç";"75 Hz";"IPS";"63";"MSI Modern MD271QP (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Asus TUF Gaming VG259QM5A";"1920x1080 piksel / FHD";"";"24.5 İnç";"240 Hz";"IPS";"63";"Asus TUF Gaming VG259QM5A (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Viewsonic VG2456";"1920x1080 piksel / FHD";"";"23.8 İnç";"60 Hz";"IPS";"63";"Viewsonic VG2456 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"MSI MAG 27C6PF";"1920x1080 piksel / FHD";"";"27 İnç";"180 Hz";"VA";"63";"MSI MAG 27C6PF (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 180 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"ViewSonic VX2479J-HD-PRO";"1920x1080 piksel / FHD";"";"23.8 İnç";"180 Hz";"IPS";"63";"ViewSonic VX2479J-HD-PRO (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 180 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Lenovo L27m-30";"1920x1080 piksel / FHD";"";"27 İnç";"75 Hz";"IPS";"63";"Lenovo L27m-30 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Asus ROG Swift PG27VQ";"2560x1440 piksel / WQHD";"";"27 İnç";"165 Hz";"TN";"63";"Asus ROG Swift PG27VQ (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi TN ve teknik puanı 63'dir."
"Lenovo Legion R24e";"1920x1080 piksel / FHD";"";"23.8 İnç";"180 Hz";"IPS";"63";"Lenovo Legion R24e (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 180 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Philips BDM3490UC/00";"3440x1440 piksel / UWQHD";"";"34.1 İnç";"60 Hz";"IPS";"63";"Philips BDM3490UC/00 (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34.1 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"AOC 24G11ZE";"1920x1080 piksel / FHD";"";"23.8 İnç";"240 Hz";"IPS";"63";"AOC 24G11ZE (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 240 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"ViewSonic VG2409-MHDU-2";"1920x1080 piksel / FHD";"";"23.8 İnç";"100 Hz";"IPS";"63";"ViewSonic VG2409-MHDU-2 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 100 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"HP X27qc (32H02E9)";"2560x1440 piksel / WQHD";"";"27 İnç";"165 Hz";"VA";"63";"HP X27qc (32H02E9) (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Philips 242B7QPTEB/00";"2560x1440 piksel / WQHD";"";"23.8 İnç";"60 Hz";"IPS";"63";"Philips 242B7QPTEB/00 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Rampage Titan TT25F400F";"1920x1080 piksel / FHD";"";"24.5 İnç";"400 Hz";"IPS";"63";"Rampage Titan TT25F400F (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24.5 İnç, yenileme hızı 400 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Rampage RAGE RG27R165";"1920x1080 piksel / FHD";"";"27 İnç";"165 Hz";"VA";"63";"Rampage RAGE RG27R165 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Philips Evnia 32M1C5500VL/00";"2560x1440 piksel / WQHD";"";"31.5 İnç";"165 Hz";"VA";"63";"Philips Evnia 32M1C5500VL/00 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"HP M27m (678U8AA)";"1920x1080 piksel / FHD";"";"27 İnç";"75 Hz";"IPS";"63";"HP M27m (678U8AA) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"GameBooster GB-25F260FF";"1920x1080 piksel / FHD";"";"24.5 İnç";"260 Hz";"IPS";"63";"GameBooster GB-25F260FF (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24.5 İnç, yenileme hızı 260 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Samsung LC27H800FCMXUF (C27H800)";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"VA";"63";"Samsung LC27H800FCMXUF (C27H800) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Dexim K27SG";"1920x1080 piksel / FHD";"";"27 İnç";"180 Hz";"VA";"63";"Dexim K27SG (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 180 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"ViewSonic VG2441V";"1920x1080 piksel / FHD";"";"23.8 İnç";"120 Hz";"IPS";"63";"ViewSonic VG2441V (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 120 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Asus TUF Gaming VG249QM5A";"1920x1080 piksel / FHD";"";"23.8 İnç";"240 Hz";"IPS";"63";"Asus TUF Gaming VG249QM5A (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 240 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Samsung Odyssey G5 32"" LS32CG552EUXUF (S32CG552)";"2560x1440 piksel / WQHD";"";"32 İnç";"165 Hz";"VA";"63";"Samsung Odyssey G5 32"" LS32CG552EUXUF (S32CG552) (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 32 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"GamePower Intense X60";"2560x1440 piksel / WQHD";"";"27 İnç";"165 Hz";"VA";"63";"GamePower Intense X60 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"ViewSonic VG2765";"2560x1440 piksel / WQHD";"";"27 İnç";"60 Hz";"IPS";"63";"ViewSonic VG2765 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"AOC 24B3CF2";"1920x1080 piksel / FHD";"";"23.8 İnç";"100 Hz";"IPS";"63";"AOC 24B3CF2 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 100 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"LG UltraGear 27GN800-B";"2560x1440 piksel / WQHD";"";"27 İnç";"144 Hz";"IPS";"63";"LG UltraGear 27GN800-B (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 144 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Asus TUF Gaming VG279Q5R";"1920x1080 piksel / FHD";"";"27 İnç";"200 Hz";"IPS";"63";"Asus TUF Gaming VG279Q5R (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 200 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Samsung ViewFinity S5 34"" LS34C500GAUXUF (S34C500)";"3440x1440 piksel / UWQHD";"";"34 İnç";"100 Hz";"VA";"63";"Samsung ViewFinity S5 34"" LS34C500GAUXUF (S34C500) (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 100 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Asus TUF Gaming VG259QR";"1920x1080 piksel / FHD";"";"24.5 İnç";"165 Hz";"IPS";"63";"Asus TUF Gaming VG259QR (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"ViewSonic VX2776-4K-MHD";"3840x2160 piksel / 4K UHD";"";"27 İnç";"60 Hz";"IPS";"63";"ViewSonic VX2776-4K-MHD (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"KTC H27E22P";"1920x1080 piksel / FHD";"";"27 İnç";"280 Hz";"VA";"63";"KTC H27E22P (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 280 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Philips 278E1A/00";"3840x2160 piksel / 4K UHD";"";"27 İnç";"60 Hz";"IPS";"63";"Philips 278E1A/00 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Gigabyte GS32QC";"2560x1440 piksel / WQHD";"";"31.5 İnç";"170 Hz";"VA";"63";"Gigabyte GS32QC (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 170 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"GameBooster GB-25F320FF";"1920x1080 piksel / FHD";"";"24.5 İnç";"300 Hz";"IPS";"63";"GameBooster GB-25F320FF (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24.5 İnç, yenileme hızı 300 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"LG UltraGear 32GN55R-B";"1920x1080 piksel / FHD";"";"31.5 İnç";"165 Hz";"VA";"63";"LG UltraGear 32GN55R-B (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Acer Predator XB273GPbmiiprzx";"1920x1080 piksel / FHD";"";"27 İnç";"144 Hz";"IPS";"63";"Acer Predator XB273GPbmiiprzx (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 144 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Lenovo ThinkVision P24q-10";"2560x1440 piksel / WQHD";"";"23.8 İnç";"60 Hz";"IPS";"63";"Lenovo ThinkVision P24q-10 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Philips 288P6LJEB/00";"3840x2160 piksel / 4K UHD";"";"28 İnç";"60 Hz";"TN";"63";"Philips 288P6LJEB/00 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 28 İnç, yenileme hızı 60 Hz, ekran teknolojisi TN ve teknik puanı 63'dir."
"Dell U2717D UltraSharp InfinityEdge";"2560x1440 piksel / WQHD";"";"27 İnç";"60 Hz";"IPS";"63";"Dell U2717D UltraSharp InfinityEdge (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Dell U2717DA UltraSharp InfinityEdge";"2560x1440 piksel / WQHD";"";"27 İnç";"60 Hz";"IPS";"63";"Dell U2717DA UltraSharp InfinityEdge (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"ViewSonic VG2709-2K-MHD-2";"2560x1440 piksel / WQHD";"";"27 İnç";"100 Hz";"IPS";"63";"ViewSonic VG2709-2K-MHD-2 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 100 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Asus ROG Strix XG16AHPE-W";"1920x1080 piksel / FHD";"";"15.6 İnç";"144 Hz";"IPS";"63";"Asus ROG Strix XG16AHPE-W (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 15.6 İnç, yenileme hızı 144 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Asus ROG Strix XG16AHPE";"1920x1080 piksel / FHD";"";"15.6 İnç";"144 Hz";"IPS";"63";"Asus ROG Strix XG16AHPE (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 15.6 İnç, yenileme hızı 144 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"HP 34f (6JM50AA)";"3440x1440 piksel / UWQHD";"";"34 İnç";"60 Hz";"IPS";"63";"HP 34f (6JM50AA) (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"Dell UltraSharp U2424H";"1920x1080 piksel / FHD";"";"23.8 İnç";"120 Hz";"IPS";"63";"Dell UltraSharp U2424H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 120 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"MSI G32C4X";"1920x1080 piksel / FHD";"";"31.5 İnç";"250 Hz";"VA";"63";"MSI G32C4X (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 250 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Philips 27M1N3200VA/00";"1920x1080 piksel / FHD";"";"27 İnç";"165 Hz";"VA";"63";"Philips 27M1N3200VA/00 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"ViewSonic VX2785-2K-MHDU";"2560x1440 piksel / WQHD";"";"27 İnç";"75 Hz";"IPS";"63";"ViewSonic VX2785-2K-MHDU (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"KTC H32S17F";"1920x1080 piksel / FHD";"";"31.5 İnç";"240 Hz";"VA";"63";"KTC H32S17F (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Lenovo Q24H-10";"2560x1440 piksel / WQHD";"";"23.8 İnç";"75 Hz";"IPS";"63";"Lenovo Q24H-10 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"AOC 27G4HRE";"1920x1080 piksel / FHD";"";"27 İnç";"200 Hz";"IPS";"63";"AOC 27G4HRE (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 200 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"MSI Pro MP275PG";"1920x1080 piksel / FHD";"";"27 İnç";"100 Hz";"IPS";"63";"MSI Pro MP275PG (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 100 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"MSI MAG 274CXF";"1920x1080 piksel / FHD";"";"27 İnç";"280 Hz";"VA";"63";"MSI MAG 274CXF (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 280 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
"Asus VA24DQFS";"1920x1080 piksel / FHD";"";"23.8 İnç";"100 Hz";"IPS";"63";"Asus VA24DQFS (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 100 Hz, ekran teknolojisi IPS ve teknik puanı 63'dir."
"AOC U32E2N";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"60 Hz";"VA";"63";"AOC U32E2N (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi VA ve teknik puanı 63'dir."
